File;Path;Type;Size;Size (octets);Modification;Creation;Owner;SID;NT account description;Attributes
Pong.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\games & phun;Algodoo Scene Package;11,11 KiB;11386;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Refinery.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\games & phun;Algodoo Scene Package;52,57 KiB;53833;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Robot Trance Dance.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\games & phun;Algodoo Scene Package;265,94 KiB;272328;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Rock_Quarry.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\games & phun;Algodoo Scene Package;23,73 KiB;24309;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Sillya_Playground.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\games & phun;Algodoo Scene Package;29,11 KiB;29814;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Spongy.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\games & phun;Algodoo Scene Package;35,32 KiB;36170;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Trebuchet.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\games & phun;Algodoo Scene Package;1,2 MiB;1262110;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Walking toys.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\games & phun;Algodoo Scene Package;24,12 KiB;24701;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Wood mechanics 1.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\games & phun;Algodoo Scene Package;7,4 KiB;7586;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
3marbles.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\lessons;Algodoo Scene Package;27,63 KiB;28296;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
